order,name,height_cm,height_in,weight_kg,weight_lb,body_mass_index,body_mass_index_range,birth_day,birth_month,birth_year,birth_date,birthplace,birth_state,death_day,death_month,death_year,death_date,death_age,astrological_sign,term_begin_day,term_begin_month,term_begin_year,term_begin_date,term_end_day,term_end_month,term_end_year,term_end_date,presidency_begin_age,presidency_end_age,political_party,corrected_iq
27,William Howard Taft,182,71.5,154.2,340,46.6,Morbidly Obese,15,9,1857,15-09-1857,Cincinnati,Ohio,8,3,1930,08-03-1930,72,Virgo,4,3,1909,04-03-1909,4,3,1913,04-03-1913,51,55,Republican,140
28,Thomas Woodrow Wilson,180,71.0,77.1,170,23.8,Normal,28,12,1856,28-12-1856,Staunton,Virginia,3,2,1924,03-02-1924,67,Capricorn,4,3,1913,04-03-1913,4,3,1921,04-03-1921,56,64,Democrat,155
29,Warren Gamal Harding,183,72.0,78.5,173,23.4,Normal,2,11,1865,02-11-1865,Blooming Grove,Ohio,2,8,1923,02-08-1923,57,Scorpio,4,3,1921,04-03-1921,2,8,1923,02-08-1923,55,57,Republican,140
30,John Calvin Coolidge,178,70.0,70.8,156,22.3,Normal,4,7,1872,04-07-1872,Plymouth,Vermont,5,1,1933,05-01-1933,60,Cancer,2,8,1923,02-08-1923,4,3,1929,04-03-1929,51,56,Republican,142
31,Herbert Clark Hoover,182,71.5,84.8,187,25.6,Overweight,10,8,1874,10-08-1874,West Branch,Iowa,20,10,1964,20-10-1964,90,Leo,4,3,1929,04-03-1929,4,3,1933,04-03-1933,54,58,Republican,142
32,Franklin Delano Roosevelt,188,74.0,86.2,190,24.4,Normal,30,1,1882,30-01-1882,Hyde Park,New York,12,4,1945,12-04-1945,63,Aquarius,4,3,1933,04-03-1933,12,4,1945,12-04-1945,51,63,Democrat,151
33,Harry S Truman,175,69.0,75.7,167,24.7,Normal,8,5,1884,08-05-1884,Lamar,Missouri,26,12,1972,26-12-1972,88,Taurus,12,4,1945,12-04-1945,20,1,1953,20-01-1953,60,68,Democrat,140
34,Dwight David Eisenhower,179,70.5,78.0,172,24.3,Normal,14,10,1890,14-10-1890,Denison,Texas,28,3,1969,28-03-1969,78,Libran,20,1,1953,20-01-1953,20,1,1961,20-01-1961,62,70,Republican,145
35,John Fitzgerald Kennedy,185,73.0,79.4,175,23.2,Normal,29,5,1917,29-05-1917,Brookline,Massachusetts,22,11,1963,22-11-1963,46,Gemini,20,1,1961,20-01-1961,22,11,1963,22-11-1963,43,46,Democrat,160
36,Lyndon Baines Johnson,192,75.5,95.3,210,25.9,Overweight,27,8,1908,27-08-1908,Stonewall,Texas,22,1,1973,22-01-1973,64,Virgo,22,11,1963,22-11-1963,20,1,1969,20-01-1969,55,60,Democrat,141
37,Richard Milhous Nixon,182,71.5,79.4,175,24.0,Normal,9,1,1913,09-01-1913,Yorba Linda,California,22,4,1994,22-04-1994,81,Capricorn,20,1,1969,20-01-1969,9,8,1974,09-08-1974,56,61,Republican,143
38,Gerald Rudolph Ford,183,72.0,86.2,190,25.7,Overweight,14,7,1913,14-07-1913,Omaha,Nebraska,26,12,2006,26-12-2006,93,Cancer,9,8,1974,09-08-1974,20,1,1977,20-01-1977,61,63,Republican,140
39,James Earl Carter,177,69.5,80.3,177,25.6,Overweight,1,10,1924,01-10-1924,Plains,Georgia,,,,,,Libran,20,1,1977,20-01-1977,20,1,1981,20-01-1981,52,56,Democrat,157
40,Ronald Wilson Reagan,185,73.0,81.6,180,23.8,Normal,6,2,1911,06-02-1911,Tampico,Illinois,5,6,2004,05-06-2004,93,Aquarius,20,1,1981,20-01-1981,20,1,1989,20-01-1989,69,77,Republican,142
41,George Herbert Walker Bush,188,74.0,88.5,195,25.0,Overweight,12,6,1924,12-06-1924,Milton,Massachusetts,30,12,2018,30-12-2018,94,Gemini,20,1,1989,20-01-1989,20,1,1993,20-01-1993,64,68,Republican,143
42,William Jefferson Clinton,188,74.0,101.2,223,28.6,Overweight,19,8,1946,19-08-1946,Hope,Arkansas,,,,,,Leo,20,1,1993,20-01-1993,20,1,2001,20-01-2001,46,54,Democrat,159
43,George Walker Bush,182,71.5,84.4,186,25.5,Overweight,6,6,1946,06-06-1946,New Haven,Connecticut,,,,,,Gemini,20,1,2001,20-01-2001,20,1,2009,20-01-2009,54,52,Republican,139
44,Barack Hussein Obama,185,73.0,81.6,180,23.8,Normal,4,8,1961,04-08-1961,Honolulu,Hawaii,,,,,,Leo,20,1,2009,20-01-2009,20,1,2017,20-01-2017,47,55,Democrat,
45,Donald John Trump,191,75.0,107.5,237,29.5,Overweight,14,6,1946,14-06-1946,Queens,New York,,,,,,Gemini,20,1,2017,20-01-2017,20,1,2021,20-01-2021,70,74,Republican,
46,Joseph Robinette Biden,182,71.5,80.7,178,24.4,Normal,20,11,1942,20-11-1942,Scranton,Pennsylvania,,,,,,Scorpio,20,1,2021,20-01-2021,,,,,78,,Democrat,
